id,vacancy_name,salary_from,salary_to,company_name,url,requirements
83782203,Швея,48000,0,Базис-Юг,https://api.hh.ru/vacancies/83782203?host=hh.ru,Стаж работы желателен! Обучаем! Умение качественно и быстро отшивать изделие. Коммуникабельность. Исполнительность. Пунктуальность. Аккуратность.
83116729,Швея,60000,100000,Чайко Анастасия Геннадьевна,https://api.hh.ru/vacancies/83116729?host=hh.ru,Аккуратность. Опыт работы и желание зарабатывать.
83159177,Швея,1500,2000,Конверсум,https://api.hh.ru/vacancies/83159177?host=hh.ru,Требования: Опыт работы от 1 года. Условия: Работа в бригаде с пооперационной разбивкой (в потоке). Бригада с опытом работы и...
84295982,Швея-портной,60000,110000,Coral Fashion Group (ИП Родионов Алексей Игоревич),https://api.hh.ru/vacancies/84295982?host=hh.ru,"Опыт работы, скорость и качество пошива. Неконфликтность, уважительное отношение к коллегам, в коллективе работают дружелюбные люди. Политика компании не одобряет..."
83164214,Швея,0,40000,Комплект - Подписные издания,https://api.hh.ru/vacancies/83164214?host=hh.ru,Наличие опыта работы будет вашим преимуществом. Исполнительность и ответственность. Внимательность. Готовность к высокому темпу работы.
83118587,Швея,160000,400000,МЕНЧИКОВА А.В,https://api.hh.ru/vacancies/83118587?host=hh.ru,Пунктуальность.
84323836,Швея-упаковщик,45000,70000,Сенокосов Максим Сергеевич,https://api.hh.ru/vacancies/84323836?host=hh.ru,"Расторопность, честность, обучаемость, ответственность. Опыт работы на промышленных швейных машинах. Опыт пошива перечисленных в обязанностях изделий. Исполнительность, пунктуальность."
84173093,Швея,130000,200000,Иванова Ирина,https://api.hh.ru/vacancies/84173093?host=hh.ru,"Высокое качество, аккуратность."
83675635,Швея,60000,0,Лагуна,https://api.hh.ru/vacancies/83675635?host=hh.ru,"Скорость работы и аккуратность. Желательны, но не обязательны навыки проведения ВТО. Внимательность к деталям. Желание учиться. Опыт работы будет вашим..."
83794698,Швея,45000,90000,АБСОЛЮТ,https://api.hh.ru/vacancies/83794698?host=hh.ru,"Опыт работы швеей на производстве приветствуется, с минимальным опытом работы, но с непреодолимым желанием обучаться и набираться опыта. "
84265624,Швея 2/2 (есть обучение),60000,100000,RDWI,https://api.hh.ru/vacancies/84265624?host=hh.ru,
83787884,Швея-портной,40000,0,ТПК АРИНА,https://api.hh.ru/vacancies/83787884?host=hh.ru,Умение шить на промышленных машинах. Требования: Дисциплина .аккуратность.
84329271,Швея-портной,50000,120000,Гранд Стиль,https://api.hh.ru/vacancies/84329271?host=hh.ru,Приветствуется высокая скорость в работе при соблюдении технологического процесса. Опыт работы на промышленных швейных машинах. В цехе работают мастер и...
83969691,Портной / швея-универсал,50000,0,Poetique,https://api.hh.ru/vacancies/83969691?host=hh.ru,"Опыт работы от 3 лет, знание промышленного оборудования, последовательности сборки и различных вариантов обработки. Качество, скорость, аккуратность, ответственность."
84178264,Швея - выплаты каждую неделю,60000,90000,Блинов Сергей Николаевич,https://api.hh.ru/vacancies/84178264?host=hh.ru,"Опыт работы швеей от 1 года. Внимательность, аккуратность, ответственность."
83204789,Швея в цех,40000,70000,Креатекс,https://api.hh.ru/vacancies/83204789?host=hh.ru,Опыт работы будет Вашим преимуществом. Ответственность. Аккуратность.Чистоплотность.
83755309,Швея на вышивальное производство.,50000,50000,Стежкофф,https://api.hh.ru/vacancies/83755309?host=hh.ru,"Навыки работы с промышленным швейным оборудованием. Хорошая микромоторика, навыки работы с ножницами. Внимательность и аккуратность. Усидчивость. Обучаемость."
83416918,Швея (ученик швеи),40000,60000,Мирей,https://api.hh.ru/vacancies/83416918?host=hh.ru,"Начальный, а в идеале - профессиональный навык шитья. Опыт работы на промышленном швейном оборудовании. Ответственное отношение к работе, дисциплинированность. "
